"campuskey","sitekey","latitude","longitude","month","total_generation_kwh"
1,37,"-37.71828652","145.0509752","2020-09-01 00:00:00","4415.0380859375"
1,17,"-37.71828652","145.0509752","2020-09-01 00:00:00","4223.51904296875"
3,10,"-36.77885832","144.3012321","2020-09-01 00:00:00","4088.65625"
1,30,"-37.71828652","145.0509752","2020-09-01 00:00:00","3687.9769287109375"
1,21,"-37.71828652","145.0509752","2020-09-01 00:00:00","3577.91552734375"
1,26,"-37.71828652","145.0509752","2020-09-01 00:00:00","3452.27880859375"
5,42,"-36.38031889","145.4062897","2020-09-01 00:00:00","3035.09375"
1,39,"-37.71828652","145.0509752","2020-09-01 00:00:00","3018.6737060546875"
1,32,"-37.71828652","145.0509752","2020-09-01 00:00:00","3004.27587890625"
1,35,"-37.71828652","145.0509752","2020-09-01 00:00:00","2682.20703125"
1,34,"-37.71828652","145.0509752","2020-09-01 00:00:00","1978.083984375"
3,7,"-36.77885832","144.3012321","2020-09-01 00:00:00","1276.8125"
1,29,"-37.71828652","145.0509752","2020-09-01 00:00:00","1199.7452392578125"
1,28,"-37.71828652","145.0509752","2020-09-01 00:00:00","1188.21826171875"
3,9,"-36.77885832","144.3012321","2020-09-01 00:00:00","902.23828125"
1,27,"-37.71828652","145.0509752","2020-10-01 00:00:00","50950.75"
1,25,"-37.71828652","145.0509752","2020-10-01 00:00:00","40609.7421875"
1,19,"-37.71828652","145.0509752","2020-10-01 00:00:00","21562.71484375"
1,18,"-37.71828652","145.0509752","2020-10-01 00:00:00","17944.9609375"
2,1,"-36.11120917","146.8486788","2020-10-01 00:00:00","11721.75"
4,41,"-34.20528877","142.166556","2020-10-01 00:00:00","9966.9375"
2,2,"-36.11120917","146.8486788","2020-10-01 00:00:00","9818.0625"
1,15,"-37.71828652","145.0509752","2020-10-01 00:00:00","9774.466796875"
1,24,"-37.71828652","145.0509752","2020-10-01 00:00:00","8990.017578125"
1,33,"-37.71828652","145.0509752","2020-10-01 00:00:00","8952.08984375"
1,20,"-37.71828652","145.0509752","2020-10-01 00:00:00","8266.451171875"
1,31,"-37.71828652","145.0509752","2020-10-01 00:00:00","7806.1015625"
1,40,"-37.71828652","145.0509752","2020-10-01 00:00:00","7771.228515625"
1,22,"-37.71828652","145.0509752","2020-10-01 00:00:00","7428.478515625"
3,12,"-36.77885832","144.3012321","2020-10-01 00:00:00","7346.65625"
2,3,"-36.11120917","146.8486788","2020-10-01 00:00:00","7199.40625"
1,14,"-37.71828652","145.0509752","2020-10-01 00:00:00","7176.017578125"
3,13,"-36.77885832","144.3012321","2020-10-01 00:00:00","6656.828125"
1,23,"-37.71828652","145.0509752","2020-10-01 00:00:00","5847.12109375"
1,38,"-37.71828652","145.0509752","2020-10-01 00:00:00","5709.9189453125"
1,36,"-37.71828652","145.0509752","2020-10-01 00:00:00","5135.1337890625"
1,37,"-37.71828652","145.0509752","2020-10-01 00:00:00","5122.3056640625"
1,17,"-37.71828652","145.0509752","2020-10-01 00:00:00","4646.5419921875"
3,10,"-36.77885832","144.3012321","2020-10-01 00:00:00","4634.703125"
1,26,"-37.71828652","145.0509752","2020-10-01 00:00:00","4124.443359375"
1,21,"-37.71828652","145.0509752","2020-10-01 00:00:00","4076.623046875"
1,30,"-37.71828652","145.0509752","2020-10-01 00:00:00","3841.3134765625"
1,32,"-37.71828652","145.0509752","2020-10-01 00:00:00","3373.5546875"
1,39,"-37.71828652","145.0509752","2020-10-01 00:00:00","3246.53125"
5,42,"-36.38031889","145.4062897","2020-10-01 00:00:00","3222.15625"
1,35,"-37.71828652","145.0509752","2020-10-01 00:00:00","2816.9052734375"
1,34,"-37.71828652","145.0509752","2020-10-01 00:00:00","2002.8408203125"
1,28,"-37.71828652","145.0509752","2020-10-01 00:00:00","1564.78369140625"
1,29,"-37.71828652","145.0509752","2020-10-01 00:00:00","1463.9931640625"
3,7,"-36.77885832","144.3012321","2020-10-01 00:00:00","1461.71875"
3,9,"-36.77885832","144.3012321","2020-10-01 00:00:00","1109.046875"
1,27,"-37.71828652","145.0509752","2020-11-01 00:00:00","55111.8125"
1,25,"-37.71828652","145.0509752","2020-11-01 00:00:00","48478.265625"
1,19,"-37.71828652","145.0509752","2020-11-01 00:00:00","24716.8515625"
1,18,"-37.71828652","145.0509752","2020-11-01 00:00:00","20509.46875"
2,1,"-36.11120917","146.8486788","2020-11-01 00:00:00","16164.5"
4,41,"-34.20528877","142.166556","2020-11-01 00:00:00","14816.4375"
2,2,"-36.11120917","146.8486788","2020-11-01 00:00:00","13442.6875"
1,15,"-37.71828652","145.0509752","2020-11-01 00:00:00","11484.9453125"
2,3,"-36.11120917","146.8486788","2020-11-01 00:00:00","10707.4375"
1,24,"-37.71828652","145.0509752","2020-11-01 00:00:00","10205.4140625"
3,12,"-36.77885832","144.3012321","2020-11-01 00:00:00","10027.5"
1,33,"-37.71828652","145.0509752","2020-11-01 00:00:00","9991.75"
1,20,"-37.71828652","145.0509752","2020-11-01 00:00:00","9177.609375"
1,40,"-37.71828652","145.0509752","2020-11-01 00:00:00","8993.0625"
1,31,"-37.71828652","145.0509752","2020-11-01 00:00:00","8774.943359375"
1,22,"-37.71828652","145.0509752","2020-11-01 00:00:00","8411.517578125"
1,14,"-37.71828652","145.0509752","2020-11-01 00:00:00","8272.033203125"
1,23,"-37.71828652","145.0509752","2020-11-01 00:00:00","6935.3310546875"
3,13,"-36.77885832","144.3012321","2020-11-01 00:00:00","6649.796875"
1,38,"-37.71828652","145.0509752","2020-11-01 00:00:00","6286.3125"
3,10,"-36.77885832","144.3012321","2020-11-01 00:00:00","6212.8125"
1,37,"-37.71828652","145.0509752","2020-11-01 00:00:00","5776.9140625"
1,36,"-37.71828652","145.0509752","2020-11-01 00:00:00","5676.978515625"
1,17,"-37.71828652","145.0509752","2020-11-01 00:00:00","5321.1328125"
1,30,"-37.71828652","145.0509752","2020-11-01 00:00:00","4492.099609375"
1,26,"-37.71828652","145.0509752","2020-11-01 00:00:00","4490.95703125"
1,21,"-37.71828652","145.0509752","2020-11-01 00:00:00","4414.9111328125"
5,42,"-36.38031889","145.4062897","2020-11-01 00:00:00","4266.5625"
1,39,"-37.71828652","145.0509752","2020-11-01 00:00:00","3876.55615234375"
1,32,"-37.71828652","145.0509752","2020-11-01 00:00:00","3828.869140625"
1,35,"-37.71828652","145.0509752","2020-11-01 00:00:00","3420.658203125"
1,34,"-37.71828652","145.0509752","2020-11-01 00:00:00","2195.20703125"
1,28,"-37.71828652","145.0509752","2020-11-01 00:00:00","1906.85400390625"
1,29,"-37.71828652","145.0509752","2020-11-01 00:00:00","1786.076416015625"
3,9,"-36.77885832","144.3012321","2020-11-01 00:00:00","1451.69140625"
3,7,"-36.77885832","144.3012321","2020-11-01 00:00:00","1289.09375"
1,27,"-37.71828652","145.0509752","2020-12-01 00:00:00","57987.25"
1,25,"-37.71828652","145.0509752","2020-12-01 00:00:00","49386.921875"
1,19,"-37.71828652","145.0509752","2020-12-01 00:00:00","25567.6171875"
1,18,"-37.71828652","145.0509752","2020-12-01 00:00:00","21365.34375"
2,1,"-36.11120917","146.8486788","2020-12-01 00:00:00","15477.71875"
4,41,"-34.20528877","142.166556","2020-12-01 00:00:00","14832.3125"
2,2,"-36.11120917","146.8486788","2020-12-01 00:00:00","12469.53125"
1,15,"-37.71828652","145.0509752","2020-12-01 00:00:00","11838.3515625"
1,24,"-37.71828652","145.0509752","2020-12-01 00:00:00","10743.203125"
1,33,"-37.71828652","145.0509752","2020-12-01 00:00:00","10341.33984375"
3,12,"-36.77885832","144.3012321","2020-12-01 00:00:00","10337.90625"
2,3,"-36.11120917","146.8486788","2020-12-01 00:00:00","9962.6875"
1,20,"-37.71828652","145.0509752","2020-12-01 00:00:00","9730.03125"
1,40,"-37.71828652","145.0509752","2020-12-01 00:00:00","9375.15625"
1,31,"-37.71828652","145.0509752","2020-12-01 00:00:00","9146.4296875"
1,22,"-37.71828652","145.0509752","2020-12-01 00:00:00","8576.77734375"
1,14,"-37.71828652","145.0509752","2020-12-01 00:00:00","8568.34765625"
1,23,"-37.71828652","145.0509752","2020-12-01 00:00:00","7201.17578125"
1,38,"-37.71828652","145.0509752","2020-12-01 00:00:00","6527.435546875"
1,37,"-37.71828652","145.0509752","2020-12-01 00:00:00","6049.767578125"
3,10,"-36.77885832","144.3012321","2020-12-01 00:00:00","5779.921875"
1,36,"-37.71828652","145.0509752","2020-12-01 00:00:00","5774.50390625"
1,17,"-37.71828652","145.0509752","2020-12-01 00:00:00","5664.45703125"
3,13,"-36.77885832","144.3012321","2020-12-01 00:00:00","4999.59375"
1,30,"-37.71828652","145.0509752","2020-12-01 00:00:00","4725.3349609375"
1,26,"-37.71828652","145.0509752","2020-12-01 00:00:00","4648.501953125"
1,21,"-37.71828652","145.0509752","2020-12-01 00:00:00","4616.44140625"
1,39,"-37.71828652","145.0509752","2020-12-01 00:00:00","4033.9150390625"
1,32,"-37.71828652","145.0509752","2020-12-01 00:00:00","3969.400390625"
5,42,"-36.38031889","145.4062897","2020-12-01 00:00:00","3876.28125"
1,35,"-37.71828652","145.0509752","2020-12-01 00:00:00","3803.685546875"
3,7,"-36.77885832","144.3012321","2020-12-01 00:00:00","2725.65625"
1,34,"-37.71828652","145.0509752","2020-12-01 00:00:00","2429.69140625"
1,28,"-37.71828652","145.0509752","2020-12-01 00:00:00","1967.619140625"
1,29,"-37.71828652","145.0509752","2020-12-01 00:00:00","1846.189453125"
1,16,"-37.71828652","145.0509752","2020-12-01 00:00:00","1418.43505859375"
3,9,"-36.77885832","144.3012321","2020-12-01 00:00:00","1302.23828125"
2,5,"-36.11120917","146.8486788","2020-12-01 00:00:00","1062.7421875"
2,4,"-36.11120917","146.8486788","2020-12-01 00:00:00","1015.94140625"
1,27,"-37.71828652","145.0509752","2021-01-01 00:00:00","50114"
1,25,"-37.71828652","145.0509752","2021-01-01 00:00:00","48706.3125"
1,19,"-37.71828652","145.0509752","2021-01-01 00:00:00","25922.65625"
1,18,"-37.71828652","145.0509752","2021-01-01 00:00:00","21547.3046875"
2,1,"-36.11120917","146.8486788","2021-01-01 00:00:00","16883.59375"
4,41,"-34.20528877","142.166556","2021-01-01 00:00:00","15620.5"
2,2,"-36.11120917","146.8486788","2021-01-01 00:00:00","12890.09375"
1,15,"-37.71828652","145.0509752","2021-01-01 00:00:00","11929.5546875"
1,24,"-37.71828652","145.0509752","2021-01-01 00:00:00","10672"
3,12,"-36.77885832","144.3012321","2021-01-01 00:00:00","10532.59375"
1,33,"-37.71828652","145.0509752","2021-01-01 00:00:00","10501.7578125"
1,20,"-37.71828652","145.0509752","2021-01-01 00:00:00","9718.609375"
1,40,"-37.71828652","145.0509752","2021-01-01 00:00:00","9199.7265625"
2,3,"-36.11120917","146.8486788","2021-01-01 00:00:00","9124.375"
1,31,"-37.71828652","145.0509752","2021-01-01 00:00:00","9007.21875"
1,22,"-37.71828652","145.0509752","2021-01-01 00:00:00","8743.34375"
1,14,"-37.71828652","145.0509752","2021-01-01 00:00:00","8303.37890625"
3,7,"-36.77885832","144.3012321","2021-01-01 00:00:00","6963.78125"
1,23,"-37.71828652","145.0509752","2021-01-01 00:00:00","6892.876953125"
1,38,"-37.71828652","145.0509752","2021-01-01 00:00:00","6489.1875"
3,13,"-36.77885832","144.3012321","2021-01-01 00:00:00","6472.625"
3,10,"-36.77885832","144.3012321","2021-01-01 00:00:00","6433.1875"
1,36,"-37.71828652","145.0509752","2021-01-01 00:00:00","5945.8046875"
1,37,"-37.71828652","145.0509752","2021-01-01 00:00:00","5906.4296875"
1,17,"-37.71828652","145.0509752","2021-01-01 00:00:00","5571.419921875"
1,26,"-37.71828652","145.0509752","2021-01-01 00:00:00","4664.345703125"
1,21,"-37.71828652","145.0509752","2021-01-01 00:00:00","4663.861328125"
1,30,"-37.71828652","145.0509752","2021-01-01 00:00:00","4486.33984375"
5,42,"-36.38031889","145.4062897","2021-01-01 00:00:00","4380.921875"
1,32,"-37.71828652","145.0509752","2021-01-01 00:00:00","4000.025390625"
1,39,"-37.71828652","145.0509752","2021-01-01 00:00:00","3858.349609375"
1,35,"-37.71828652","145.0509752","2021-01-01 00:00:00","3570.47265625"
1,34,"-37.71828652","145.0509752","2021-01-01 00:00:00","2295.91796875"
1,28,"-37.71828652","145.0509752","2021-01-01 00:00:00","1890.51953125"
1,16,"-37.71828652","145.0509752","2021-01-01 00:00:00","1827.103515625"
1,29,"-37.71828652","145.0509752","2021-01-01 00:00:00","1804.88671875"
2,5,"-36.11120917","146.8486788","2021-01-01 00:00:00","1482.5703125"
3,9,"-36.77885832","144.3012321","2021-01-01 00:00:00","1481.328125"
2,4,"-36.11120917","146.8486788","2021-01-01 00:00:00","1427.41015625"
1,27,"-37.71828652","145.0509752","2021-02-01 00:00:00","54958.5"
3,11,"-36.77885832","144.3012321","2021-02-01 00:00:00","53259.328125"
1,25,"-37.71828652","145.0509752","2021-02-01 00:00:00","42976.21875"
1,19,"-37.71828652","145.0509752","2021-02-01 00:00:00","23165.75"
1,18,"-37.71828652","145.0509752","2021-02-01 00:00:00","19179.546875"
3,6,"-36.77885832","144.3012321","2021-02-01 00:00:00","17111.8232421875"
2,1,"-36.11120917","146.8486788","2021-02-01 00:00:00","14393.3125"
3,8,"-36.77885832","144.3012321","2021-02-01 00:00:00","13638.8701171875"
